ZONA,SESIONES ,USUARIOS UNICOS,AÑO
Canchas_colinas_del_triunfo,29914,931,2024
Cra1_39B_sta_helena,61555,1538,2024
parque_galan,43332,2244,2024
Chancha_alejandria_montelibano,81129,1609,2024
Cuchilla_de_los_castros,42561,1144,2024
Los_cristales,81632,3783,2024
parque_el_oso,54558,2968,2024
parque_la_isla,24780,1054,2024
ZW_El_Acuario,26939,1457,2024
ZW_Montelibano_Fibra,43764,1466,2024
parque_la_avioneta,67902,1854,2024
parque_poblado_1_maz_k_cas_19,14965,666,2024
parque_de_samaria_maz_31,54144,2086,2024
parque_poblado_2,30288,1667,2024
via_principal_samaria,66048,5869,2024
Colegio_rocio_alto,31487,963,2024
Rural caracol la curva,53821,591,2024
Cancha_de_nacederos,138767,2367,2024
Cancha_matecana,4787,86,2024
Gilberto_pelaez_y_libertad_en_la,153336,2048,2024
plumon_caseta,93489,1192,2024
Caserio_la_bella,74748,1378,2024
El_Chocho,1861,157,2024
Mundo_Nuevo,3969,94,2024
ZW el salado,1687,101,2024
ZW_Cerro_Canceles,18593,926,2024
ZW_La_Bella_Cachucha_Radio,28477,398,2024
La_florida_la_bananera_esquina,14590,733,2024
Plan_El_Manzano,150,27,2024
Parque_la_florida,89128,1767,2024
ZW_PORVENIR,3069,231,2024
La_Estrella,11931,763,2024
ZW_El_Contento_Radio,25537,462,2024
ZW_El_Gurrio_Radio,6225,378,2024
Estacion_de_Policia_Morelia,29415,2264,2024
Belmonte_Bajo,15125,330,2024
Gamma_II,4866,304,2024
villa_olimpica_skate_y_piscinas,110586,4393,2024
Comuna_oriente_alfonso_lopez,16848,859,2024
Parque_cesar_nader,42168,403,2024
Parque_kennedy,203407,8080,2024
ZW_ID_10253566_Hernando_Velez_Marulanda,68446,1876,2024
2500_Lotes_Bairon_Gaviria,75949,2506,2024
Caseta_comunal_barrios_unidos,69024,2567,2024
villa_kennedy_cancha,49319,1696,2024
P/caldas_parque_de_los_almendros,72709,920,2024
puerto_caldas_el_cofre,75382,910,2024
puerto_caldas_san_isidro,57299,421,2024
Cancha_perla_del_sur,205658,4751,2024
Canchas_del_cardal,40345,1364,2024
