No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,UBICACIÓN,CAPACIDAD DE USUARIOS PERMITIDOS,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS,GEOREFERENCIACIÓN
35,789,UNE,RISARALDA,PEREIRA,CERRITOS,LAS COLINAS,LAS COLINAS,1,"(4.797806, -75.820194)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.820194 4.797806)
36,413,UNE,RISARALDA,PEREIRA,COMBIA ALTA,COMBIA ALTA,ALTO ERAZO,1,"(4.844776, -75.730278)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.730278 4.844776)
37,789,UNE,RISARALDA,PEREIRA,COMBIA ALTA,COMBIA ALTA,GUILLERMO HOYOS,2,"(4.883055, -75.725417)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.725417 4.883055)
38,513,UNE,RISARALDA,PEREIRA,COMBIA BAJA,CRUCERO DE COMBIA,CRUCERO DE COMBIA,2,"(4.831296, -75.757543)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.757543 4.831296)
39,789,UNE,RISARALDA,PEREIRA,COMBIA BAJA,COMBIA BAJA,LA HONDA,1,"(4.875356, -75.788232)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.788232 4.875356)
40,789,UNE,RISARALDA,PEREIRA,COMBIA BAJA,COMBIA BAJA,SAN MARINO,1,"(4.842515, -75.784882)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.784882 4.842515)
41,513,UNE,RISARALDA,PEREIRA,CONSOTA,BARRIO NARANJO,BARRIO NARANJITO,2,"(4.797432, -75.722132)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.722132 4.797432)
42,513,UNE,RISARALDA,PEREIRA,CONSOTA,CANCHA EL NARANJITO,CRA. 44 #67A-29 A 67A-1,2,"(4.798829, -75.723218)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.723218 4.798829)
43,513,UNE,RISARALDA,PEREIRA,CONSOTA,EL DORADO,CANCHAS DEL DORADO,2,"(4.801667, -75.719233)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.719233 4.801667)
44,413,UNE,RISARALDA,PEREIRA,CONSOTA,EL ROSAL - AV LAS AMERICAS CON CALLE 50,EL ROSAL - AV LAS AMERICAS CON CALLE 50,1,"(4.808932, -75.724711)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.724711 4.808932)
45,513,UNE,RISARALDA,PEREIRA,CONSOTA,MIRAFLORES,PARQUEADERO DE MIRAFLORES,2,"(4.794234, -75.716890)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.71689 4.794234)
46,513,UNE,RISARALDA,PEREIRA,CONSOTA,PADRE VALENCIA (VILLA CONSOTA),CAI DEL PADRE VALENCIA,2,"(4.802058, -75.725130)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.72513 4.802058)
47,513,UNE,RISARALDA,PEREIRA,CONSOTA,VILLA VERDE,PARQUE VILLAVERDE,2,"(4.792014, -75.711327)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.711327 4.792014)
48,513,UNE,RISARALDA,PEREIRA,CUBA,COLEGIO JESUS MARIA ORMAZA,COLEGIO ORMAZA,2,"(4.803911, -75.743980)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.74398 4.803911)
49,513,UNE,RISARALDA,PEREIRA,CUBA,CUBA,ZONA COMERCIAL CUBA,2,"(4.804769, -75.739850)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.73985 4.804769)
50,513,UNE,RISARALDA,PEREIRA,CUBA,PARQUE GUADALUPE ZAPATA,PARQUE GUADALUPE ZAPATA,2,"(4.804773, -75.739304)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.739304 4.804773)
51,513,UNE,RISARALDA,PEREIRA,CUBA,RAFAEL URIBE I,PARQUE URIBE 1,2,"(4.802677, -75.739736)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.739736 4.802677)
52,3829,UNE,RISARALDA,PEREIRA,CUBA,CUBA,CALLE 70 CARRERA 36 A LA 38 (ZONA COMERCIAL COMENERO),2,"(4.803968, -75.731275)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.731275 4.803968)
53,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,CIUDAD BOQUIA,CANCHAS DE BOQUIA CALLE 62,2,"(4.822955, -75.730566)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.730566 4.822955)
54,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,MALAGA,PARQUE MALAGA,2,"(4.826720, -75.728645)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.728645 4.82672)
55,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,SECTOR A,PARQUE LA GRAN MANZANA,2,"(4.823555, -75.726729)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.726729 4.823555)
56,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,SECTOR B,CANCHA SECTOR B PARQUE INDUSTRIAL,2,"(4.822482, -75.725228)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.725228 4.822482)
57,3829,UNE,RISARALDA,PEREIRA,DEL CAFÉ,LLANO GRANDE,LLANO GRANDE,2,"(4.824917, -75.733944)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.733944 4.824917)
58,513,UNE,RISARALDA,PEREIRA,DEL RIO,BARRIO AMERICA,PARQUE BARRIO AMERICA,2,"(4.818774, -75.689647)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.689647 4.818774)
59,513,UNE,RISARALDA,PEREIRA,DEL RIO,COLINAS DEL TRIUNFO,CANCHAS COLINAS DEL TRIUNFO,2,"(4.818037, -75.716098)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.716098 4.818037)
60,513,UNE,RISARALDA,PEREIRA,DEL RIO,GUALANDAY,CANCHA CLL 26 KRA1 BIS GUALANDAY,2,"(4.820417, -75.699556)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.699556 4.820417)
61,513,UNE,RISARALDA,PEREIRA,DEL RIO,JOSE ANTONIO GALAN,PARQUE BARRIO GALAN,2,"(4.820178, -75.704857)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.704857 4.820178)
62,513,UNE,RISARALDA,PEREIRA,DEL RIO,SAN CAMILO,SAN CAMILO,2,"(4.729737, -75.734242)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.734242 4.729737)
63,513,UNE,RISARALDA,PEREIRA,DEL RIO,SANTA ELENA,CRA 1 # 39B BARRIO SANTA ELENA,2,"(4.819447, -75.711741)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.711741 4.819447)
64,513,UNE,RISARALDA,PEREIRA,DEL RIO,ZEA,BARRIO ZEA CANCHA 17 AV DEL RIO,2,"(4.819638, -75.691942)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.691942 4.819638)
65,789,UNE,RISARALDA,PEREIRA,EL OSO,PARQUE ACUARIO,PARQUE EL ACUARIO,2,"(4.800146, -75.735309)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.735309 4.800146)
66,513,UNE,RISARALDA,PEREIRA,EL OSO,CANCHA ALEJANDRIA-MONETELIBANO,CHANCHA ALEJANDRIA MONTELIBANO,2,"(4.793788, -75.729248)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.729248 4.793788)
67,513,UNE,RISARALDA,PEREIRA,EL OSO,CUCHILLA DE LOS CASTRO,CUCHILLA DE LOS CASTRO,2,"(4.793777, -75.732239)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.732239 4.793777)
68,513,UNE,RISARALDA,PEREIRA,EL OSO,LA ISLA,PARQUE LA ISLA,2,"(4.802001, -75.740060)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.74006 4.802001)
69,513,UNE,RISARALDA,PEREIRA,EL OSO,LOS CRISTALES,PARQUE CIUDADELA LOS CRISTALES,2,"(4.803881, -75.735840)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.73584 4.803881)
70,513,UNE,RISARALDA,PEREIRA,EL OSO,PARQUE DEL OSO,PARQUE EL OSO,2,"(4.798848, -75.732606)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.732606 4.798848)
71,513,UNE,RISARALDA,PEREIRA,EL POBLADO,POBLADO I,PARQUE POBLADO I (MZ K),2,"(4.804312, -75.706722)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.706722 4.804312)
72,513,UNE,RISARALDA,PEREIRA,EL POBLADO,POBLADO II,PARQUE EL POBLADO II,2,"(4.802781, -75.708933)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.708933 4.802781)
73,513,UNE,RISARALDA,PEREIRA,EL POBLADO,SAMARIA I,SAMARIA 1 (AVENIDA PPAL),2,"(4.795988, -75.708701)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.708701 4.795988)
74,513,UNE,RISARALDA,PEREIRA,EL POBLADO,SAMARIA II,SAMARIA 2 (CANCHA CERCA A LA ESCUELA),2,"(4.797984, -75.709036)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.709036 4.797984)
75,513,UNE,RISARALDA,PEREIRA,EL POBLADO,SAMARIA III,SAMARIA 3 (PARQUE LA AVIONETA),2,"(4.792857, -75.706795)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.706795 4.792857)
76,513,UNE,RISARALDA,PEREIRA,EL ROCIO,ROCIO ALTO,COLEGIO ROCIO ALTO,2,"(4.797375, -75.703295)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.703295 4.797375)
77,513,UNE,RISARALDA,PEREIRA,EL ROCIO,CARACOL_LA_CURVA,VARIANTE ARMENIA,1,"(4.786175, -75.697052)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.697052 4.786175)
78,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,EL PLUMON,PLUMON CASETA,2,"(4.813478, -75.729974)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.729974 4.813478)
79,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,NACEDEROS,CANCHA NACEDEROS,2,"(4.816157, -75.732171)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.732171 4.816157)
80,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,GILBERTO PELÃEZ Y BARRIO LA LIBERTAD,GILBERTO PELAEZ Y LIBERTAD EN LA GLORIETA,4,"(4.817526, -75.739266)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.739266 4.817526)
81,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,MATECAÑA,CANCHA MATECAÑA,2,"(4.811499, -75.747058)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.747058 4.811499)
82,513,UNE,RISARALDA,PEREIRA,LA BELLA,EL CHOCHO,EL CHOCHO,2,"(4.786750, -75.671760)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.67176 4.78675)
83,513,UNE,RISARALDA,PEREIRA,LA BELLA,LA BELLA,CASERIO LA BELLA,2,"(4.762800, -75.635919)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.635919 4.7628)
84,413,UNE,RISARALDA,PEREIRA,LA BELLA,MUNDO NUEVO - ESTACION DE POLICIA,MUNDO NUEVO - ESTACION DE POLICIA,1,"(4.786709, -75.683355)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.683355 4.786709)
85,3829,UNE,RISARALDA,PEREIRA,LA BELLA,CANCELES,CERRO CANCELES,1,"(4.801917, -75.673417)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.673417 4.801917)
86,789,UNE,RISARALDA,PEREIRA,LA BELLA,EL SALADO,EL SALADO,1,"(4.783216, -75.684772)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.684772 4.783216)
87,413,UNE,RISARALDA,PEREIRA,LA ESTRELLA,LA ESTRELLA-LA PALMILLA,LA ESTRELLA,1,"(4.73922, -75.782767)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.782767 4.73922)
88,513,UNE,RISARALDA,PEREIRA,LA FLORIDA,LA FLORIDA,PARQUE LA FLORIDA,2,"(4.757901, -75.611425)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.611425 4.757901)
89,513,UNE,RISARALDA,PEREIRA,LA FLORIDA,LA FLORIDA-LA BANANERA,LA FLORIDA LA BANANERA ESQUINA,2,"(4.774209, -75.635027)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.635027 4.774209)
90,789,UNE,RISARALDA,PEREIRA,LA FLORIDA,EL PORVENIR,EL PORVENIR,2,"(4.782901, -75.646088)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.646088 4.782901)
91,413,UNE,RISARALDA,PEREIRA,MORELIA,MORELIA,ESTACION DE POLICIA MORELIA,1,"(4.773365, -75.75891)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.75891 4.773365)
92,513,UNE,RISARALDA,PEREIRA,OLIMPICA,GAMMA II,CANCHA GAMMA II FRENTE COLEGIO LUIS CARLOS GONZALEZ,2,"(4.806522, -75.745294)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.745294 4.806522)
93,413,UNE,RISARALDA,PEREIRA,OLIMPICA,OLIMPICA,BELMONTE BAJO - VIA CARTAGO (CERRITOS),1,"(4.812906, -75.774722)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.774722 4.812906)
94,513,UNE,RISARALDA,PEREIRA,OLIMPICA,VILLA OLIMPICA,VILLA OLIMPICA ENTRE EL SKATE Y PISCINAS,2,"(4.807037, -75.752420)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.75242 4.807037)
95,513,UNE,RISARALDA,PEREIRA,ORIENTE,ALFONSO LOPEZ,CANCHA ALFONSO LOPEZ,2,"(4.811990, -75.677271)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.677271 4.81199)
96,513,UNE,RISARALDA,PEREIRA,ORIENTE,HERNANDO VELEZ MARULANDA,CANCHA HERNANDO VELEZ,2,"(4.812743, -75.680724)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.680724 4.812743)
97,513,UNE,RISARALDA,PEREIRA,ORIENTE,KENNEDY,PARQUE DE KENNEDY,2,"(4.807630, -75.672066)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.672066 4.80763)
98,513,UNE,RISARALDA,PEREIRA,ORIENTE,PARQUE NADER,PARQUE CESAR NADER,2,"(4.806212, -75.669833)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.669833 4.806212)
99,513,UNE,RISARALDA,PEREIRA,PERLA DEL OTUN,2500 LOTES,VIA PPAL 2500 LTES FRENTE AL COLEGIO,2,"(4.797033, -75.733006)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.733006 4.797033)
100,513,UNE,RISARALDA,PEREIRA,PERLA DEL OTUN,BARRIO UNIDOS (B. VILLA MARIA),CASETA COMUNAL BARRIOS UNIDOS,2,"(4.794639, -75.728133)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.728133 4.794639)
101,513,UNE,RISARALDA,PEREIRA,PERLA DEL OTUN,VILLA KENNEDY,VILLA KENNEDY CANCHA,2,"(4.796946, -75.731793)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.731793 4.796946)
102,513,UNE,RISARALDA,PEREIRA,PUERTO CALDAS,PUERTO CALDAS EL COFRE,PUERTO CALDAS EL COFRE,2,"(4.760517, -75.907890)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.90789 4.760517)
103,513,UNE,RISARALDA,PEREIRA,PUERTO CALDAS,PUERTO CALDAS PARQUE LOS ALMENDROS,PUERTO CALDAS PARQUE LOS ALMENDROS,2,"(4.760406, -75.901083)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.901083 4.760406)
